speaker,occupation,introduction,profile,Gender_auto,MaleScore,FemaleScore,NonBinaryScore,Gender_handcheck
Mena Trott,"Blogger; cofounder, Six Apart","Mena Trott and her husband Ben founded Six Apart in a spare bedroom after the blogging software they developed grew beyond a hobby. With products Movable Type, TypePad, LiveJournal and Vox, the company has helped lead the ""social media"" revolution.","Why you should listen
Time's 2006 Person of the Year is ""You,"" which is to say, everybody: ""The many wresting power from the few and helping one another for nothing."" The tools of this revolution have come in no small part from Six Apart, a 2002 startup that helped enable the blogging boom with its products. And co-founder Mena Trott, who rose to Internet fame with her own blog, DollarShort, has become a strong voice explaining the role of personal blogging in today's culture.Trott and her husband Ben developed Movable Type  for their own use in 2001, but it became immensely popular and they dove in full-time. By the time they were preparing their blog-hosting service TypePad, investors were knocking on the door. In 2004, the company grew from seven employees to 50, with Mena Trott serving as chief executive, as well as an interface designer. Today, having acquired LiveJournal  and introduced rich-media sharing platform Vox, Six Apart's software gives online voice to millions of people and organizations worldwide.
What others say

“Like Ms. Trott, Vox is unpretentious and accessible. ... She increasingly has the attention of elder statesmen who are baffled by the rise of blogging and need help in 'getting it.'” — The Economist",undetected,0,4,5,female
Eve Ensler,"Playwright, activist","Eve Ensler created the ground-breaking ""Vagina Monologues,"" whose success propelled her to found V-Day — a movement to end violence against women and girls everywhere.","Why you should listen
Inspired by intimate conversations with friends, Eve Ensler wrote The Vagina Monologues. The play recounts tender, funny, gripping and horrifying stories she gathered from hundreds of women about their bodies, their sexual experiences, and yes, their vaginas. Since its first staging in 1996, it has been translated into more than 45 languages, performed in more than 120 countries and re-created as an HBO film. The Vagina Monologues' success allowed Ensler to create V-Day, a global activist movement to end violence against women and girls, which has so far raised $85 million to prevent violence and protect abused women. In February 2011, Ensler received the Isabelle Stephenson Tony Award for her philanthropic work. Ensler has also drawn praise for The Good Body, a play that cuts to women's obsession with their appearance, and her film What I Want My Words to Do to You, which portrays a writing group she leads at a correctional facility for women. Today, she continues to find new projects and push the envelope. Her latest play, I Am an Emotional Creature: The Secret Life of Girls Around the World, hit the New York Times bestseller list and just wrapped a workshop production in Johannesburg -- nest stop is Paris and then Berkeley in June 2012.
What others say

“Eve is bringing women back, she's giving us our souls back.” — Glenn Close",undetected,0,7,4,female
Phil Borges,Photographer,"Dentist-turned-photographer Phil Borges documents the world's disappearing cultures, capturing portraits of exiled Tibetan monks and many of the world’s embattled tribal and indigenous cultures.","Why you should listen
Spurred by the rapid disappearance of the world's indigenous peoples and their oral traditions, Phil Borges abandoned his orthodontic practice to pursue his first love, photography. For the past 25 years, he has traveled to the farthest reaches of the globe to meet with persecuted Tibetan monks engaged in nonviolent struggle and embattled tribespeople of the Ecuadorian Amazon who must defend their way of life by any means necessary. Through interviews and portraiture, Borges examines his subjects' valuable beliefs and stories and documents their tribulations with dignity.He is the founder of Bridges to Understanding, an interactive online classroom that promotes cross-cultural learning between indigenous and American youths. By teaching teenagers how to share stories through digital filmmaking, Borges hopes they'll develop the mental flexibility and cultural sensitivity to understand and appreciate belief systems outside their own. Borges' feature-length documentary, CRAZYWISE, takes a look at America’s mental health care crisis and examines what we could learn from the way different cultures define and treat mental illness.
What others say

“Phil Borges' images, filled with dignity, often are reminiscent of portraits of nobility by Velázquez. ... The photographer imbues images of children with the respect and compassion he believes they deserve, yet too seldom receive.” — OC Weekly",undetected,5,0,5,male
Neil Gershenfeld,"Physicist, personal fab pioneer","As Director of MIT’s Center for Bits and Atoms, Neil Gershenfeld explores the boundaries between the digital and physical worlds.","Why you should listen
MIT's Neil Gershenfeld is redefining the boundaries between the digital and analog worlds. The digital revolution is over, Gershenfeld says. We won. What comes next? His Center for Bits and Atoms  has developed quite a few answers, including Internet 0, a tiny web server that fits into lightbulbs and doorknobs, networking the physical world in previously unimaginable ways.But Gershenfeld is best known as a pioneer in personal fabrication -- small-scale manufacturing enabled by digital technologies, which gives people the tools to build literally anything they can imagine. His famous Fab Lab  is immensely popular among students at MIT, who crowd Gershenfeld's classes. But the concept is potentially life-altering in the developing world, where a Fab Lab  with just $20,000 worth of laser cutters, milling machines and soldering irons can transform a community, helping people harness their creativity to build tools, replacement parts and essential products unavailable in the local market. Read more in Fab: The Coming Revolution on Your Desktop.
What others say

“Neil Gershenfeld's celebrated, visionary FabLab at the Massachusetts Institute of Technology enables anybody to design and execute one-of-a-kind objects complete with brains.” — The New York Times",undetected,2,0,2,male
Sheila Patek,"Biologist, biomechanics researcher","Biologist Sheila Patek is addicted to speed — animal speed. She's measured the fastest animal movements in the world, made by snail-smashing mantis shrimp and the snapping mandibles of trap-jaw ants.","Why you should listen
Sheila Patek, a UC Berkeley biologist, made a name for herself by measuring the hyperfast movements of snail-smashing mantis shrimp heels and bug-snapping ant jaws, using high-speed video cameras recording at up to 20,000 frames per second. In 2004, she and her team showed that peacock mantis shrimp had the fastest feeding strike in the animal kingdom, and that they are the only known animal to store energy in a hyperbolic paraboloid, a super-strong Pringles-shaped structure more often found in modern architecture. Then in 2006, she and her team announced that trap-jaw ants had stolen the title of fastest striker from the mantis shrimp, when their research measured the ants' snapping jaws at an awesome 78 to 145 miles per hour, accelerating at 100,000 times the force of gravity. Patek's previous research focused on the sounds made by spiny lobsters, discovering that they used a mechanism similar to a violin. In 2004, she was named one of Popular Science magazine's ""Brilliant 10."" The Patek Lab at University of Massachusetts Amherst, where Patek is the principal investigator, continues to explore evolutionary questions through the integration of physiology, biomechanics, evolutionary analysis and animal behavior.
What others say

“[Sheila] Patek has parsed the mechanics of the odd antenna twitches that lobsters use to make noise and is helping develop a physiology-based method to predict what each lobster species would sound like. Recently, she proved that the peacock mantis shrimp has the fastest kick in the animal kingdom.” — Popular Science",undetected,0,7,5,female
Jeff Bezos,Online commerce pioneer,"As founder and CEO of Amazon.com, Jeff Bezos defined online shopping and rewrote the rules of commerce, ushering in a new era in business. Time magazine named him Man of the Year in 1999.","Why you should listen
Jeff Bezos didn't invent online shopping, but he almost single-handedly turned it into a multi-billion-dollar enterprise. His Amazon.com  began as a bookstore in 1994, and quickly expanded into dozens of product categories, forcing the world's biggest retailers to rethink their business models, and ultimately changing the way people shop. But Amazon.com isn't just an internet success story. It's the standard by which all web businesses are now judged -- if not by their shareholders, then by their customers. Amazon set a high bar for reliability and customer service, and also introduced a wide range of online retail conventions -- from user reviews and one-click shopping to the tab interface and shopping cart icon -- so commonplace we no longer think of them as once having been innovations.When the Internet bubble burst, Amazon.com took a hit with the other e-commerce pioneers, but the fundamentally sound company hung tough. It now sells more than $10 billion a year of goods, profitably, and its technology will influence the changes to business and media that will come next. Amazon recently released Kindle, a wireless digital reading device, giving the term ""page turning"" a completely new definition. Bezos, meanwhile, is one of the few early Web CEOs who still run the companies they founded. Outside of his work with Amazon, he recently founded Blue Origin,  a space-flight startup.
What others say

“If the Internet was the new rock and roll, Jeff Bezos…was its Elvis … [Today he’s] the ultimate dotcom survivor. ” — BBCNews.com",undetected,5,0,5,male
Chris Anderson,TED Curator,"After a long career in journalism and publishing, Chris Anderson became the curator of the TED Conference in 2002 and has developed it as a platform for identifying and disseminating ideas worth spreading.","Why you should listen
Chris Anderson is the Curator of TED, a nonprofit devoted to sharing valuable ideas, primarily through the medium of 'TED Talks' -- short talks that are offered free online to a global audience.Chris was born in a remote village in Pakistan in 1957. He spent his early years in India, Pakistan and Afghanistan, where his parents worked as medical missionaries, and he attended an American school in the Himalayas for his early education. After boarding school in Bath, England, he went on to Oxford University, graduating in 1978 with a degree in philosophy, politics and economics.Chris then trained as a journalist, working in newspapers and radio, including two years producing a world news service in the Seychelles Islands. Back in the UK in 1984, Chris was captivated by the personal computer revolution and became an editor at one of the UK's early computer magazines. A year later he founded Future Publishing with a $25,000 bank loan. The new company initially focused on specialist computer publications but eventually expanded into other areas such as cycling, music, video games, technology and design, doubling in size every year for seven years. In 1994, Chris moved to the United States where he built Imagine Media, publisher of Business 2.0 magazine and creator of the popular video game users website IGN. Chris eventually merged Imagine and Future, taking the combined entity public in London in 1999, under the Future name. At its peak, it published 150 magazines and websites and employed 2,000 people.This success allowed Chris to create a private nonprofit organization, the Sapling Foundation, with the hope of finding new ways to tackle tough global issues through media, technology, entrepreneurship and, most of all, ideas. In 2001, the foundation acquired the TED Conference, then an annual meeting of luminaries in the fields of Technology, Entertainment and Design held in Monterey, California, and Chris left Future to work full time on TED.He expanded the conference's remit to cover all topics, including science, business and key global issues, while adding a Fellows program, which now has some 300 alumni, and the TED Prize, which grants its recipients ""one wish to change the world."" The TED stage has become a place for thinkers and doers from all fields to share their ideas and their work, capturing imaginations, sparking conversation and encouraging discovery along the way.In 2006, TED experimented with posting some of its talks on the Internet. Their viral success encouraged Chris to begin positioning the organization as a global media initiative devoted to 'ideas worth spreading,' part of a new era of information dissemination using the power of online video. In June 2015, the organization posted its 2,000th talk online. The talks are free to view, and they have been translated into more than 100 languages with the help of volunteers from around the world. Viewership has grown to approximately one billion views per year.Continuing a strategy of 'radical openness,' in 2009 Chris introduced the TEDx initiative, allowing free licenses to local organizers who wished to organize their own TED-like events. More than 8,000 such events have been held, generating an archive of 60,000 TEDx talks. And three years later, the TED-Ed program was launched, offering free educational videos and tools to students and teachers.",undetected,8,0,6,male
Will Wright,Game designer,"Will Wright invented a genre of computer game that involves neither winning nor shooting, yet has generated colossal hits. Among them: SimCity (which earned its publisher $230 million), The Sims, and Spore.","Why you should listen
A technical virtuoso with boundless imagination, Will Wright has created a style of computer gaming unlike any that came before, emphasizing learning more than losing, invention more than sport. With his hit game SimCity, he spurred players to make predictions, take risks, and sometimes fail miserably, as they built their own virtual urban worlds. With his follow-up hit, The Sims, he encouraged the same creativity toward building a household, all the while preserving the addictive fun of ordinary video games. His next game, Spore, which he previewed at TED2007, evolves an entire universe from a single-celled creature.Wright's genius is for presenting vital abstract principles -- like evolution, differences of scale, and environmental dynamics -- through a highly personalized, humorous kind of play. Users invest themselves passionately in characters they create (with Wright's mind-boggling CG tools), and then watch them encounter fundamentals of life and nature. If it all sounds suspiciously educational, well, it just might be. Wright has created not just an irresistible form of entertainment, but an ingenious, original pedagogy.In 2009, he left publisher Electronic Arts to form his own think tank for the future of games, toys and entertainment, the Stupid Fun Club.
What others say

“Will Wright -- a legend among gamers, the nerd’s nerd, undisputed king of the simulation.” — New Statesman",undetected,8,0,5,male
Theo Jansen,Artist,"Theo Jansen is a Dutch artist who builds walking kinetic sculptures that he calls a new form of life. His ""Strandbeests"" walk the coastline of Holland, feeding on wind and fleeing from water.","Why you should listen
Dutch artist Theo Jansen has been working for 16 years to create sculptures that move on their own in eerily lifelike ways. Each generation of his ""Strandbeests"" is subject to the forces of evolution, with successful forms moving forward into new designs. Jansen's vision and long-term commitment to his wooden menagerie is as fascinating to observe as the beasts themselves.His newest creatures walk without assistance on the beaches of Holland, powered by wind, captured by gossamer wings that flap and pump air into old lemonade bottles that in turn power the creatures' many plastic spindly legs. The walking sculptures look alive as they move, each leg articulating in such a way that the body is steady and level. They even incorporate primitive logic gates that are used to reverse the machine's direction if it senses dangerous water or loose sand where it might get stuck.
What others say

“A self-styled god, Jansen is evolving an entirely new line of animals: immense multi-legged walking critters designed to roam the Dutch coastline, feeding on gusts of wind.” — Wired News",undetected,4,0,3,male
Hod Lipson,Roboticist,"Hod Lipson works at the intersection of engineering and biology, studying robots and the way they ""behave"" and evolve. His work has exciting implications for design and manufacturing — and serves as a window to understand our own behavior and evolution.","Why you should listen
To say that Hod Lipson and his team at Cornell  build robots is not completely accurate: They may simply set out a pile of virtual robot parts, devise some rules for assembly, and see what the parts build themselves into. They've created robots that decide for themselves how they want to walk; robots that develop a sense of what they look like; even robots that can, through trial and error, construct other robots just like themselves. Working across disciplines -- physics, computer science, math, biology and several flavors of engineer -- the team studies techniques for self-assembly and evolution that have great implications for fields such as micro-manufacturing -- allowing tiny pieces to assemble themselves at scales heretofore impossible -- and extreme custom manufacturing (in other words, 3-D printers  for the home). His lab's Outreach  page is a funhouse of tools and instructions, including the amazing Golem@Home  -- a self-assembling virtual robot who lives in your screensaver. ",undetected,3,0,4,male
