descriptions,words
descr,['descr']
"With the same humor and humanity he exuded in An Inconvenient Truth, Al Gore spells out 15 ways that individuals can address climate change immediately, from buying a hybrid to inventing a new, hotter ""brand name"" for global warming.","['humor', 'humanity', 'exuded', 'inconvenient', 'truth', 'al', 'gore', 'spells', 'ways', 'individuals', 'can', 'address', 'climate', 'change', 'immediately', 'buying', 'hybrid', 'inventing', 'new', 'hotter', 'brand', 'name', 'global', 'warming']"
Forget the latest disease in the news: Cardiovascular disease kills more people than everything else combined — and it’s mostly preventable. Dr. Dean Ornish explains how changing our eating habits can save lives.,"['forget', 'latest', 'disease', 'news', 'cardiovascular', 'disease', 'kills', 'people', 'everything', 'else', 'combined', 'it’s', 'mostly', 'preventable', 'dr', 'dean', 'ornish', 'explains', 'changing', 'eating', 'habits', 'can', 'save', 'lives']"
"In the quest to map the brain, many scientists have attempted the incredibly daunting task of recording the activity of each neuron. Gero Miesenboeck works backward — manipulating specific neurons to figure out exactly what they do, through a series of stunning experiments that reengineer the way fruit flies percieve light.","['quest', 'map', 'brain', 'many', 'scientists', 'attempted', 'incredibly', 'daunting', 'task', 'recording', 'activity', 'neuron', 'gero', 'miesenboeck', 'works', 'backward', 'manipulating', 'specific', 'neurons', 'figure', 'exactly', 'series', 'stunning', 'experiments', 'reengineer', 'way', 'fruit', 'flies', 'percieve', 'light']"
"Musical innovator Andrew Bird winds together his trademark violin technique with xylophone, vocals and sophisticated electronic looping. Add in his uncanny ability to whistle anything, and he becomes a riveting one-man orchestra.  ","['musical', 'innovator', 'andrew', 'bird', 'winds', 'together', 'trademark', 'violin', 'technique', 'xylophone', 'vocals', 'sophisticated', 'electronic', 'looping', 'add', 'uncanny', 'ability', 'whistle', 'anything', 'becomes', 'riveting', 'one-man', 'orchestra']"
"Designer Emily Pilloton moved to rural Bertie County, in North Carolina, to engage in a bold experiment of design-led community transformation. She's teaching a design-build class called Studio H that engages high schoolers' minds and bodies while bringing smart design and new opportunities to the poorest county in the state.","['designer', 'emily', 'pilloton', 'moved', 'rural', 'bertie', 'county', 'north', 'carolina', 'engage', 'bold', 'experiment', 'design-led', 'community', 'transformation', 'teaching', 'design-build', 'class', 'called', 'studio', 'h', 'engages', 'high', 'schoolers', 'minds', 'bodies', 'bringing', 'smart', 'design', 'new', 'opportunities', 'poorest', 'county', 'state']"
"Civil wars and ethnic conflicts have brought the world incredible suffering, but Stefan Wolff's figures show that, in the last 20 years, their number has steadily decreased. He extracts critical lessons from Northern Ireland, Liberia, Timor and more to show that leadership, diplomacy and institutional design are our three most effective weapons in waging peace.","['civil', 'wars', 'ethnic', 'conflicts', 'brought', 'world', 'incredible', 'suffering', 'stefan', ""wolff's"", 'figures', 'show', 'last', 'years', 'number', 'steadily', 'decreased', 'extracts', 'critical', 'lessons', 'northern', 'ireland', 'liberia', 'timor', 'show', 'leadership', 'diplomacy', 'institutional', 'design', 'three', 'effective', 'weapons', 'waging', 'peace']"
"Aaron Huey's effort to photograph poverty in America led him to the Pine Ridge Indian Reservation, where the struggle of the native Lakota people — appalling, and largely ignored — compelled him to refocus. Five years of work later, his haunting photos intertwine with a shocking history lesson.","['aaron', ""huey's"", 'effort', 'photograph', 'poverty', 'america', 'led', 'pine', 'ridge', 'indian', 'reservation', 'struggle', 'native', 'lakota', 'people', 'appalling', 'largely', 'ignored', 'compelled', 'refocus', 'five', 'years', 'work', 'later', 'haunting', 'photos', 'intertwine', 'shocking', 'history', 'lesson']"
FLA head Auret van Heerden talks about the next frontier of workers' rights — globalized industries where no single national body can keep workers safe and protected. How can we keep our global supply chains honest? Van Heerden makes the business case for fair labor.,"['fla', 'head', 'auret', 'van', 'heerden', 'talks', 'next', 'frontier', 'workers', 'rights', 'globalized', 'industries', 'single', 'national', 'body', 'can', 'keep', 'workers', 'safe', 'protected', 'can', 'keep', 'global', 'supply', 'chains', 'honest', 'van', 'heerden', 'makes', 'business', 'case', 'fair', 'labor']"
"Ecologist Eric Berlow doesn't feel overwhelmed when faced with complex systems. He knows that more information can lead to a better, simpler solution. Illustrating the tips and tricks for breaking down big issues, he distills an overwhelming infographic on U.S. strategy in Afghanistan to a few elementary points.","['ecologist', 'eric', 'berlow', 'feel', 'overwhelmed', 'faced', 'complex', 'systems', 'knows', 'information', 'can', 'lead', 'better', 'simpler', 'solution', 'illustrating', 'tips', 'tricks', 'breaking', 'big', 'issues', 'distills', 'overwhelming', 'infographic', 'u.s', 'strategy', 'afghanistan', 'elementary', 'points']"
